"","V1","V2","V3","V4"
"1",0,0,1,0
"2",0,1,0,0
"3",0,0,1,0
"4",1,0,0,0
"5",0,0,0,1
"6",1,0,0,0
"7",0,0,0,1
"8",0,1,0,0
"9",0,0,1,0
"10",0,1,0,0
"11",0,0,1,0
"12",1,0,0,0
"13",0,0,0,1
"14",0,1,0,0
"15",0,0,0,1
"16",1,0,0,0
"17",1,0,0,0
"18",0,0,1,0
"19",0,0,1,0
"20",0,1,0,0
"21",0,0,0,1
"22",0,1,0,0
"23",0,0,0,1
"24",1,0,0,0
"25",1,0,0,0
"26",0,0,1,0
"27",0,0,1,0
"28",0,1,0,0
"29",0,0,0,1
"30",1,0,0,0
"31",0,0,0,1
"32",0,1,0,0
"33",0,0,1,0
"34",0,1,0,0
"35",0,0,0,1
"36",1,0,0,0
"37",0,0,1,0
"38",0,1,0,0
"39",0,0,0,1
"40",1,0,0,0
